Brand,Model,category,source,sourceType,sourceId
LG,SJ6B       ," Sound Bars",Fry's Electronics,retailer,1
Polk Audio,AM8111-A   ," Sound Bars",Fry's Electronics,retailer,1
JBL,JBLBAR51BLKAM       ," Sound Bars",Fry's Electronics,retailer,1
Yamaha,YAS-207BL  ," Sound Bars",Fry's Electronics,retailer,1
Polk Audio,AM9114-A   ," Sound Bars",Fry's Electronics,retailer,1
LG,SH2        ," Sound Bars",Fry's Electronics,retailer,1
Klipsch,RSB-11     ," Sound Bars",Fry's Electronics,retailer,1
LG,SK6Y       ," Sound Bars",Fry's Electronics,retailer,1
LG,SJ4Y-S     ," Sound Bars",Fry's Electronics,retailer,1
LG,SK1        ," Sound Bars",Fry's Electronics,retailer,1
iLive,ITB404B    ," Sound Bars",Fry's Electronics,retailer,1
Samsung,HW-MS750/ZA," Sound Bars",Fry's Electronics,retailer,1
Naxa,NHS-2006   ," Sound Bars",Fry's Electronics,retailer,1
LG,SK8Y       ," Sound Bars",Fry's Electronics,retailer,1
Sanyo,RFWSB405FS ," Sound Bars",Fry's Electronics,retailer,1
Naxa,NHS-2011   ," Sound Bars",Fry's Electronics,retailer,1
Naxa,NHS-2012   ," Sound Bars",Fry's Electronics,retailer,1
Klipsch,RSB-6      ," Sound Bars",Fry's Electronics,retailer,1
iLive,ITBSW397B  ," Sound Bars",Fry's Electronics,retailer,1
LG,SK10Y      ," Sound Bars",Fry's Electronics,retailer,1
Jamo,1064484    ," Sound Bars",Fry's Electronics,retailer,1
Klipsch,1064190    ," Sound Bars",Fry's Electronics,retailer,1
Jamo,1064333    ," Sound Bars",Fry's Electronics,retailer,1
Klipsch,R-4B Sound bar      ," Sound Bars",Fry's Electronics,retailer,1
Samsung,HW-M4500/ZA," Sound Bars",Fry's Electronics,retailer,1
Harman Kardon,HKSB20BLKAM," Sound Bars",Fry's Electronics,retailer,1
JBL,JBLBAR31BLKAM       ," Sound Bars",Fry's Electronics,retailer,1
Polk Audio,MagniFI MAX SYSTEM  ," Sound Bars",Fry's Electronics,retailer,1
JBL,JBLBAR21BLKAM       ," Sound Bars",Fry's Electronics,retailer,1
Toshiba,TY-SBX130  ," Sound Bars",Fry's Electronics,retailer,1
Sony,HTX9000F   ," Sound Bars",Fry's Electronics,retailer,1
